2024-01-08 20:27:37 INFO  Operation directory: /Users/matan/Yelp/dsbulk-1.11.0/bin/logs/LOAD_20240108-202737-527585
2024-01-08 20:30:42 INFO  Operation LOAD_20240108-202737-527585 completed successfully in 3 minutes and 2 seconds.
2024-01-08 20:30:42 INFO  Records: total: 1,987,897, successful: 1,987,897, failed: 0
2024-01-08 20:30:42 INFO  Batches: total: 1,987,897, size: 1.00 mean, 1 min, 1 max
2024-01-08 20:30:42 INFO  Memory usage: used: 1,075 MB, free: 334 MB, allocated: 1,410 MB, available: 4,096 MB, total gc count: 220, total gc time: 2,117 ms
2024-01-08 20:30:42 INFO  Writes: total: 1,987,897, successful: 1,987,897, failed: 0, in-flight: 0
2024-01-08 20:30:42 INFO  Throughput: 10,831 writes/second
2024-01-08 20:30:42 INFO  Latencies: mean 5.34, 75p 2.80, 99p 20.19, 999p 84.41 milliseconds
2024-01-08 20:30:44 INFO  Final stats:
2024-01-08 20:30:44 INFO  Records: total: 1,987,897, successful: 1,987,897, failed: 0
2024-01-08 20:30:44 INFO  Batches: total: 1,987,897, size: 1.00 mean, 1 min, 1 max
2024-01-08 20:30:44 INFO  Memory usage: used: 1,079 MB, free: 330 MB, allocated: 1,410 MB, available: 4,096 MB, total gc count: 220, total gc time: 2,117 ms
2024-01-08 20:30:44 INFO  Writes: total: 1,987,897, successful: 1,987,897, failed: 0, in-flight: 0
2024-01-08 20:30:44 INFO  Throughput: 10,699 writes/second
2024-01-08 20:30:44 INFO  Latencies: mean 5.34, 75p 2.80, 99p 20.19, 999p 84.41 milliseconds
2024-01-08 20:30:44 INFO  Checkpoints for the current operation were written to checkpoint.csv.
2024-01-08 20:30:44 INFO  To resume the current operation, re-run it with the same settings, and add the following command line flag:
2024-01-08 20:30:44 INFO  --dsbulk.log.checkpoint.file=/Users/matan/Yelp/dsbulk-1.11.0/bin/logs/LOAD_20240108-202737-527585/checkpoint.csv
